customer_tweet_id,golden_customer_text,golden_intent,retrieved_customer_text,retrieved_gloCare_response,similarity,retrieved_customer_tweet_id,relevance
2092919,@glocare pls I migrated to Glo jumbo and recharged. I've been given bonus but couldn't use it to call. help,bonus_or_promotion_issue,@GloCare what's wrong with your network.. Couldn't use it to browse since yesterday,@634314 We apologize.Kindly provide your number and location  for checks.EE,0.2632866526549028,2159627,0
1024681,"@GloCare  Could you please send me the steps to recharge my Glo numbers using Ecobank Bank, Wuse 2 Abuja, Nigeria.",recharge_or_airtime_issue,@GloCare Please send me back my #50 deducted from 09054590520,@220608 May we know when the deduction was made? ET.,0.2544789567380093,2782508,0
734481,"@GloCare please you guys should help me check my line as I was awarded 500mb after I recharged but I'm been deducted from my Normal data subscription which really isn't suppose to be so, this is the number 08058976647",bonus_or_promotion_issue,@GloCare N50 keep deducting from my line every now and then.  Pls help me check this. My no. 08030573601.,"@452790 Afternoon Solomon, the N50 deducted on the line was for the borrowed credit from the network.  TT",0.1774603747194054,1433282,0
2267327,"@117627 @659903 Since @GloCare won't take my calls please why is #100 taken from my account daily when I have not subscribed for data or any glo services. I bought this line on Thursday 9th Nov., 2017",unauthorized_charge_or_vas,@GloCare please why is my data paused?,"@404968 Hello Kevin, may we have your number for clarification. Thank you. SO",0.1829803932481904,1214213,0
120114,@GloCare u give sending me sms dat my network signal issues has being resolved I said u deducted money 08055451220 work on this pls,unauthorized_charge_or_vas,"@GloCare The reference""Dear Customer, Your Network Signal Issues Ref: GLO 1-4817898187 request has been resolved. Glo Unlimited!!!""",@596709 We apologize. May we know what the exact issue is? AP,0.2075418194675376,2049480,0
2764089,"Dear customer, your subscription of CHOLESTROL's gpa cannot be renewed due to insufficient balance. @117627 @GloCare CANCEL. I did not subscribe to it. #Fraud.",unauthorized_charge_or_vas,@GloCare cancel date renewal.,@153133 Please send CANCEL to 127 to stop data auto renewal.  TT,0.2217746896650435,160995,0
2651022,"@GloCare Hello. It's an office line, it's for calls only. I told you it does not support browsing. Kindly tell me i you can refund the airtime or not. This is taking too long",recharge_or_airtime_issue,"@GloCare @117627 the issue is sim replacement is taking too long, but kindly help us get some of ur CAs trained before handling cases with customers. some lack business etiquettes. I dont get fooled by this ""for quality and training purpose this call will be recorded"" Pfft😒cos some CAs are poor.",@220089 @117627 We apologize for the experience Marshall. Have a nice day and stay Unlimited!  TT,0.1774075508442489,443567,0
496767,@GloCare earlier this week i used the 2442 DND code given to me by one of ur agents nw am getting msgs 4 a service i didnt subscribe 4 with my airtime deducted 4 said service Again!!!,unauthorized_charge_or_vas,@GloCare One of ur agent has called me and the issue has been resolved.,@585688 Thank you for the feedback. Stay Unlimited. UO.,0.1633313184021394,1977870,0
2345094,"@GloCare I have done all these your device tyre ,off and on,restart your device and change to 3G only all these these did not work...even one your guys told me the fault is from your end .common its talking long for christsake",network_issue,"@GloCare There is no bonus here. Why all these, did I complained before now?",@171020 Please make a call to see if you are charged from your current balance. Please note that you have not made a call from what we see here. UO,0.2108673783296493,254450,0
2470834,@117627  Data service is just too poor. @GloCare please tell me how are you grandmasters of data. This tweet was sent using @5566 network,data_issue,@117627 @GloCare Grandmasters Of Data!!! 🙌🏾🙌🏾❤️ https://t.co/W61sHYp4Yr,@606575 @117627 Good evening and thanks for the commendation. SG,0.334122512664275,2051131,0
